,hexcode,decimal,Unicode name,CLDR English name,major shortname,localsrc, char
1f3c3,127939,runner, , ,marathon,🏃
1f3c4,127940,surfer, , ,surfing,🏄
1f3c6,127942,trophy, , ,trophy,🏆
1f3c8,127944,american football, , ,football,🏈
1f3ca,127946,swimmer, , ,swimming,🏊
1f3e0,127968,house building, , ,house,🏠
1f3e1,127969,house with garden, , ,home,🏡
1f3e2,127970,office building, , ,factory,🏢
1f3e3,127971,japanese post office, , ,postoffice,🏣
1f3e5,127973,hospital, , ,hospital,🏥
1f3e6,127974,bank, , ,bank,🏦
1f3e7,127975,automated teller machine, , ,atm,🏧
1f3e8,127976,hotel, , ,hotel,🏨
1f3e9,127977,love hotel, , ,hotel2,🏩
1f3ea,127978,convenience store, , ,24hours,🏪
1f3eb,127979,school, , ,school,🏫
1f3ec,127980,department store, , ,departmentstore,🏬
1f3ed,127981,factory, , ,factory2,🏭
1f3ee,127982,izakaya lantern, , ,bistro,🏮
1f3ef,127983,japanese castle, , ,castle,🏯
1f3f0,127984,european castle, , ,castle2,🏰
1f40c,128012,snail, , ,snail,🐌
1f40d,128013,snake, , ,snake,🐍
1f40e,128014,horse, , ,,🐎
1f411,128017,sheep, , ,,🐑
1f412,128018,monkey, , ,,🐒
1f414,128020,chicken, , ,fowl,🐔
1f417,128023,boar, , ,wildboar,🐗
1f418,128024,elephant, , ,elephant,🐘
1f419,128025,octopus, , ,octopus,🐙
1f41a,128026,spiral shell, , ,shell,🐚
1f41b,128027,bug, , ,millipede,🐛
1f41c,128028,ant, , ,ant,🐜
1f41d,128029,honeybee, , ,bee,🐝
1f41e,128030,lady beetle, , ,ladybug,🐞
1f41f,128031,fish, , ,,🐟
1f420,128032,tropical fish, , ,tropicalfish,🐠
1f421,128033,blowfish, , ,globefish,🐡
1f422,128034,turtle, , ,turtle,🐢
1f423,128035,hatching chick, , ,egg,🐣
1f424,128036,baby chick, , ,bird,🐤
1f425,128037,frontfacing baby chick, , ,chick,🐥
1f426,128038,bird, , ,,🐦
1f427,128039,penguin, , ,penguin,🐧
1f428,128040,koala, , ,koala,🐨
1f429,128041,poodle, , ,dog,🐩
1f42b,128043,bactrian camel, , ,camel,🐫
1f42c,128044,dolphin, , ,dolphin,🐬
1f42d,128045,mouse face, , ,rat,🐭
1f42e,128046,cow face, , ,cow,🐮
1f42f,128047,tiger face, , ,tiger,🐯
1f430,128048,rabbit face, , ,rabbit,🐰
1f431,128049,cat face, , ,cat,🐱
1f432,128050,dragon face, , ,dragon,🐲
1f433,128051,spouting whale, , ,whale,🐳
1f434,128052,horse face, , ,horse,🐴
1f435,128053,monkey face, , ,monkey,🐵
1f436,128054,dog face, , ,hound,🐶
1f437,128055,pig face, , ,pig,🐷
1f438,128056,frog face, , ,frog,🐸
1f439,128057,hamster face, , ,,🐹
1f43a,128058,wolf face, , ,,🐺
1f43b,128059,bear face, , ,bear,🐻
1f43c,128060,panda face, , ,panda,🐼
1f43d,128061,pig nose, , ,pig2,🐽
1f43e,128062,paw prints, , ,footmark,🐾
1f440,128064,eyes, , ,eye,👀
1f442,128066,ear, , ,ear,👂
1f443,128067,nose, , ,nose,👃
1f444,128068,mouth, , ,mouth,👄
1f445,128069,tongue, , ,face25,👅
1f446,128070,white up pointing backhand index, , ,uphand,👆
1f447,128071,white down pointing backhand index, , ,underhand,👇
1f448,128072,white left pointing backhand index, , ,lefthand,👈
1f449,128073,white right pointing backhand index, , ,righthand,👉
1f44a,128074,fisted hand sign, , ,punch,👊
1f44b,128075,waving hand sign, , ,bye,👋
1f44c,128076,ok hand sign, , ,ok,👌
1f44d,128077,thumbs up sign, , ,thumbsign,👍
1f44e,128078,thumbs down sign, , ,booing,👎
